Descrição;Cód. Contabil;Fonte;Órgão;Rubrica;Aplicação;Valor Orçado Atualizado;Valor Orçado;Valor Creditado;Valor Debitado;Valor Arrecadado
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"30 - SECRETARIA  DE CULTURA E ECONOMIA CRIATIVA";"926";"8010052 - SCEC - S/PAPEL DEM.18583 AQUIS.DE INSTRUMENTOS MUSICAIS EM.2021.010.32876 ANDRÉ DO PRADO - STN 749";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"28 - SEC. SEGURANCA PUBLICA MUNICIPAL";"1887";"8010047 - SSP -  S/PAPEL DEM. 72295 -  AQUISIÇÃO DE EQUIPAMENTOS EM.2024.313.53528 DELEGADO DA CUNHA - STN 749";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"9";"2200007 - SEE -  CV SEDUC-PRC-2022-02940-DM TRANSPORTE ESCOLAR - ENS. FUNDAMENTAL";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"55";"5000051 - SEADS/FEAS - PARTILHA BENEFÍCIOS EVENTUAIS - STN 661";"0,00";"0,00";"32,10";"32,10";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"30 - SECRETARIA  DE CULTURA E ECONOMIA CRIATIVA";"1802";"8010056 - SCEC - S/PAPEL DEM. 76559 - PROJETO CULTURA - EM. 2024.133.59991 LUIZ PHILIPPE O. BRAGANÇA - STN 749";"350.000,00";"350.000,00";"350.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.4.06.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"1879";"3010086 - SES AB-TERMO ADESAO SUS-PISO ATENCAO BASICA PAB STN 621";"4.168.500,00";"4.168.500,00";"5.724.477,00";"0,00";"2.358.027,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"316";"2200021 - SEDUC – S/PAPEL DEM. 094773 - PRÊMIO EXCELÊNCIA EDUCACIONAL STN 570";"0,00";"0,00";"290.000,00";"0,00";"290.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"-";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"306";"1000161 - FEHIDRO - CT 174/2024 - CONSTRUÇÃO DE PARQUE ALAGÁVEL NO BAIRRO CAMPOS ELÍSEOS -  STN 701";"0,00";"0,00";"2.709.499,51";"0,00";"2.709.499,51"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"254";"8010073 - SES MAC - RES SS 96/2025 - CUSTEIO HMUT - EM. 2025.057.66278 - DEP. LETICIA AGUIAR - STN 749";"0,00";"0,00";"100.000,00";"0,00";"100.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"26 - SECRETARIA DE OBRAS";"924";"1000125 - SDR - S/PAPEL DEM.22278 INFRAESTRUTURA URBANA - STN 701";"1.500.000,00";"1.500.000,00";"1.500.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"248";"8010077 - SES MAC - RES SS 96/2025 - CUSTEIO PRONTO SOCORRO - EM. 2025.059.63501 - DEP. MAJOR MECCA - STN 749";"0,00";"0,00";"150.000,00";"0,00";"150.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"252";"8010074 - SES MAC - RES SS 96/2025 - CUSTEIO HMUT - EM.  2025.062.66070 - DEP. MARCIO NAKASHIMA - STN 749";"0,00";"0,00";"500.000,00";"0,00";"500.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1565";"3020020 - SES MAC-INC.P/ATENCAO SIST.PENINTENCIARIO - SISPEN";"0,00";"0,00";"0,82";"0,82";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.4.06.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"24 - SECRETARIA DE SAUDE";"1563";"3080178 - SES CONV.121/2020 P.S GESTAO 2020/2023 HMUT - STN 632";"42.000.000,00";"42.000.000,00";"45.500.000,00";"0,00";"3.500.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"138";"8010044 - SSP - S/PAPEL DEM. 68809 -  AQUISIÇÃO DE EQUIPAMENTOS EM. 2024.057.55424 LETICIA AGUIAR - STN 749";"0,00";"0,00";"5.500,07";"0,00";"5.500,07"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1568";"3080102 - SES -  CONV.211/2015 CONSTR.CENTRO REAB.LUCY MONTORO";"0,00";"0,00";"6.222,71";"0,00";"6.222,71"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"263";"8010037 - SGRI - S/PAPEL DEM.64958 INFRAESTRUTURA URBANA EM. 2023.062.52512 MARCIO NAKASHIMA - STN 749";"0,00";"0,00";"8.721,13";"0,00";"8.721,13"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"129";"8010032 - SEDUC-SP - S/PAPEL DEM.59838 GND4-EM. INFRAESTRUTURA FÍSICA 202308849985 SÉRGIO VICTOR STN 749";"0,00";"0,00";"5.179,08";"0,00";"5.179,08"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"120";"3080178 - SES CONV.121/2020 P.S GESTAO 2020/2023 HMUT - STN 632";"0,00";"0,00";"5.322,05";"5.322,05";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"64";"2000022 - SEE - RENDIMENTOS DEM. 43916 - CV TRANSP. ESCOLAR (Conta 95.356-3) - STN 571";"0,00";"0,00";"54.828,80";"20.675,77";"34.153,03"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.2.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"136";"2600000 - EDUCACAO - FUNDEB";"312.190.000,00";"312.190.000,00";"584.182.408,50";"0,00";"271.992.408,50"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.3.09.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"349";"2120019 - SEE - S/PAPEL DEM. 024704 CONSTRUÇÃO CRECHE VILA RICA  - STN 571";"768.700,00";"768.700,00";"1.081.250,05";"0,00";"312.550,05"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"303";"1000162 - FEHIDRO - CT 221/2024 - MELHORIA DA MACRO E MICRODRENAGEM DA AV. DO POVO -  STN 701";"0,00";"0,00";"1.840.636,40";"0,00";"1.840.636,40"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"253";"8010072 - SES MAC - RES SS 96/2025 - CUSTEIO UPA CECAP - EM. 2025.274.67663 - DEP. GUILHERME CORTEZ - STN 749";"0,00";"0,00";"100.000,00";"0,00";"100.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"909";"2120022 - SEE - S/PAPEL DEM. 23018 AMPLIAÇÃO EMEIEF - STN 571";"1.388.600,00";"1.388.600,00";"1.388.600,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"197";"5000064 - FEAS - PROTEÇÃO SOCIAL ESPECIAL STN 661";"0,00";"0,00";"263.091,20";"0,00";"588.687,20"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"26 - SECRETARIA DE OBRAS";"923";"8010010 - SDR - S/PAPEL DEM.15610 INFRAESTRURA URBANA EM.202105232294 JORGE CARUSO - STN 749";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"22 - SEC. DE DESENVOLVIMENTO, INOVAÇÃO E TURISMO";"1153";"5000013 - FEAS - PROTECAO SOCIAL BASICA STN 661";"255.900,00";"255.900,00";"275.460,00";"19.560,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.3.07.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"235";"8010079 - SES MAC - RES SS 107/2025 - EXAMES LABORATORIAIS - EM. 2024.277.63349 - DEP. LEO SIQUEIRA - STN 749";"0,00";"0,00";"3.100.000,00";"0,00";"3.100.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"177";"5000055 - FEAS - BENEFÍCIOS EVENTUAIS - CARTÃO STN 661";"0,00";"0,00";"177.830,80";"0,00";"177.830,80"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"220";"2300001 - SEE - CV SEDUC-PRC-2022-02940-DM TRANSPORTE ESCOLAR - ENS. MÉDIO";"929.400,00";"929.400,00";"1.226.095,03";"95.827,75";"622.404,44"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.4.06.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"1877";"3040001 - SES AF-ASSISTENCIA FARMACEUTICA BASICA STN 621";"585.750,00";"585.750,00";"933.804,16";"0,00";"751.283,16"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"229";"5000065 - FEAS - Rendimentos Prot. Básica (conta 72.393-2) STN 661";"0,00";"0,00";"4.111,60";"447,19";"3.664,41"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"24 - SECRETARIA DE SAUDE";"218";"3080025 - SES - S/PAPEL DEM. 90822 CV 703/2025 P.S GESTAO HMUT - STN 632";"0,00";"0,00";"21.620,57";"0,00";"21.620,57"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"152";"2120026 - SEE - S/PAPEL DEM. 73968 - EQUIPAMENTOS DE COZINHA P/ CRECHE VILA RICA  - STN 571";"0,00";"0,00";"1.018,28";"0,00";"1.018,28"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"188";"8010049 - SEDS - S/PAPEL DEM. 73529 GND3 - CUSTEIO EM. 2024.279.60540 LUIZ CLAUDIO MARCOLINO STN 749";"0,00";"0,00";"4.526,84";"464,36";"4.526,84"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"148";"2120025 - SEE - S/PAPEL DEM. 73967 - MOBILIÁRIOS P/ CRECHE VILA RICA  - STN 571";"0,00";"0,00";"4.114,60";"432,87";"4.114,60"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"122";"1000174 - SAA - CV 15160/21 - PROJETO COZINHALIMENTO - STN 701";"0,00";"0,00";"605,13";"605,13";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1808";"1000085 - FEHIDRO - CT 322/2019  EST.CONCEPÇÃO/ELAB. PROJETOS/LICENCIAMENTO FOSSAS SEPTICAS PS COB 094-STN701";"0,00";"0,00";"1.175,81";"1.175,81";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1703";"1000069 - FEHIDRO - CT 153/2019 18 EST.CONCEPÇÃO/ELAB. PROJETOS/LICENCIAMENTO BACIA RIO UNA PS COB 084 -STN701";"0,00";"0,00";"13,82";"13,82";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1558";"5000013 - FEAS - PROTECAO SOCIAL BASICA STN 661";"0,00";"0,00";"2.115,31";"2.115,30";"0,01"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"20 - SECRETARIA DE ESPORTES, LAZER E QUALIDADE DE VIDA";"1886";"8010041 - SEC. ESPORTE - S/PAPEL DEM. 67648 -  PROJETOS ESPORTIVOS EM.2024.076.55649 RAFA ZIMBALDI- STN 749";"150.000,00";"150.000,00";"150.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"311";"8010048 - SES MAC - RES SS 197/2025 CUSTEIO UPA SAN MARINO EM. 32275573 - ANDRÉ BUENO STN 749";"0,00";"0,00";"120.000,00";"0,00";"120.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"255";"8010069 - SES MAC - RES SS 99/2025 - CUSTEIO HMUT - EM. 2025.050.69862 - DEP. ITAMAR BORGES - STN 749";"0,00";"0,00";"100.000,00";"0,00";"100.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"258";"8010068 - SES MAC - RES SS 99/2025 - CUSTEIO UPAS - EM. 2025.062.69386  - DEP. MÁRCIO NAKASHIMA -  STN 749";"0,00";"0,00";"1.000.000,00";"0,00";"1.000.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1559";"5000014 - SUAS - PROGRAMA PROT.SOCIAL DE ALTA COMPLEXIDADE - STN 661";"0,00";"0,00";"1.871,90";"1.871,90";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"237";"8010059 - SDPCD – S/PAPEL DEM. 85877 EM. 2025.277.65350 DEP. LEONARDO SIQUEIRA STN 749";"0,00";"0,00";"400.000,00";"0,00";"400.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"270";"8010061 - SSP – S/PAPEL DEM. 085895 EM. 2025.057.67979 DEP. LETICIA AGUIAR STN 749";"0,00";"0,00";"100.000,00";"0,00";"100.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"312";"8010086 - SES MAC - RES SS 197/2025 CUSTEIO UPA CECAP EM. 27775080 - LEONARDO SIQUEIRA STN 749";"0,00";"0,00";"200.000,00";"0,00";"200.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"213";"5000059 - FEAS- SEDS RESOLUÇÃO 36/2024 - STN 661";"0,00";"0,00";"19.560,00";"0,00";"19.560,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"31 - SECRETARIA DE MEIO AMBIENTE E BEM ESTAR ANIMAL";"954";"1000085 - FEHIDRO - CT 322/2019  EST.CONCEPÇÃO/ELAB. PROJETOS/LICENCIAMENTO FOSSAS SEPTICAS PS COB 094-STN701";"9.243.000,00";"9.243.000,00";"9.243.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"315";"2200021 - SEDUC – S/PAPEL DEM. 094773 - PRÊMIO EXCELÊNCIA EDUCACIONAL STN 570";"0,00";"0,00";"435.000,00";"0,00";"435.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"30 - SECRETARIA  DE CULTURA E ECONOMIA CRIATIVA";"1200";"8010008 - SCEC - S/PAPEL DEM.58249 MODERNIZAÇÃO DO MUSEU MONTEIRO LOBATO EM. 2023.049.49924 ISA PENA - STN 749";"500.000,00";"500.000,00";"500.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"24 - SECRETARIA DE SAUDE";"38";"3020012 - SES MAC - RES SS149/22 CIRURGIA ELETIVA";"5.960,00";"5.960,00";"5.960,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"956";"3010018 - SES PAP - RES SS 162 e 163/24 - PROGRAMA SORRIA SAO PAULO - CUSTEIO GND 3 - STN 621";"36.000,00";"36.000,00";"36.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"261";"8010082 - SES MAC - RES SS 126/2025 CUSTEIO TRANSP. PACIENTES EM. 2025.277.71367 - DEP. LEO SIQUEIRA STN 749";"0,00";"0,00";"800.000,00";"0,00";"800.000,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"30 - SECRETARIA  DE CULTURA E ECONOMIA CRIATIVA";"1881";"8010046 - SCEC -  S/PAPEL DEM. 72182 -  EVENTO CULTURAL - EM. 2024.162.53464 VICENTINHO - STN 749";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"234";"5000067 - FEAS - Rendimentos Prot. Alta (conta 81.940-9) STN 661";"0,00";"0,00";"3.310,16";"0,00";"3.310,16"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"219";"1000104 - SELJ - S/PAPEL DEM.10645 CENTRO FORMACAO ESPORTIVA - STN 701";"0,00";"0,00";"400,24";"400,24";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"126";"2120019 - SEE - S/PAPEL DEM. 024704 CONSTRUÇÃO CRECHE VILA RICA  - STN 571";"0,00";"0,00";"22.474,09";"0,00";"22.474,09"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"56";"8010022 - FEAS - CUSTEIO CCI GND 3 - EM. 202308849968 SÉRGIO VICTOR STN 749";"0,00";"0,00";"109,64";"109,64";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"214";"5000055 - FEAS - BENEFÍCIOS EVENTUAIS - CARTÃO STN 661";"0,00";"0,00";"3.183,49";"0,00";"3.183,49"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"139";"8010038 - SEDS - S/PAPEL DEM.64993 GND3- CUSTEIO CCI - EM. 2023.277.52563 LEONARDO SIQUEIRA STN 749";"0,00";"0,00";"4.890,01";"4.890,01";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"260";"8010058 - SEDS - S/PAPEL DEM. 84029 GND3 - CUSTEIO EM. 2025.279.64252 LUIZ CLAUDIO MARCOLINO STN 749";"0,00";"0,00";"4.326,26";"0,00";"4.326,26"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"109";"5000055 - FEAS - BENEFÍCIOS EVENTUAIS - CARTÃO STN 661";"0,00";"0,00";"904,60";"0,00";"904,60"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"128";"8010041 - SEC. ESPORTE - S/PAPEL DEM. 67648 -  PROJETOS ESPORTIVOS EM.2024.076.55649 RAFA ZIMBALDI- STN 749";"0,00";"0,00";"16.270,47";"0,00";"16.270,47"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.1.4.06.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"49";"3030020 - SES VS - RES SS 14/25 - ARBOVIROSES URBANAS IGM SUS PARC EXTRA - DENGUE GND 3 STN 621";"0,00";"0,00";"1.604.100,00";"802.050,00";"802.050,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"142";"1000125 - SDR - S/PAPEL DEM.22278 INFRAESTRUTURA URBANA - STN 701";"0,00";"0,00";"49,46";"0,00";"49,46"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"1560";"5000018 - SEADS - PROT.SOC. ESPECIAL DE MEDIA COMPLEXIDADE - STN 661";"0,00";"0,00";"2.951,14";"2.951,14";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"29 - SECRETARIA DE EDUCACAO";"33";"1000013 - ANP - COTA-PARTE ESTADUAL RPM ROYALTIES EXPLORAÇÃO PETRÓLEO E GÁS NATURAL  - STN 705";"10.000,00";"10.000,00";"59.506,10";"0,00";"49.506,10"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"1160";"5000014 - SUAS - PROGRAMA PROT.SOCIAL DE ALTA COMPLEXIDADE - STN 661";"105.000,00";"105.000,00";"105.000,00";"0,00";"0,00"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.4.5.2.1.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"-";"247";"8010059 - SDPCD – S/PAPEL DEM. 85877 EM. 2025.277.65350 DEP. LEONARDO SIQUEIRA STN 749";"0,00";"0,00";"18.799,76";"1.537,36";"18.799,76"
"2 - Transferencias E Convenios Estaduais - Vinculados";"4.5.2.4.4.00.00";"2 - TRANSFERENCIAS E CONVENIOS ESTADUAIS - VINCULADOS";"25 - SEC. DE DESENVOLVIMENTO E INCLUSAO SOCIAL";"1163";"5000018 - SEADS - PROT.SOC. ESPECIAL DE MEDIA COMPLEXIDADE - STN 661";"270.100,00";"270.100,00";"270.100,00";"0,00";"0,00"
